mission_id,date,mission_type,agency,complexity,duration_days
M001,2023-10-27,Deep Space,NASA,Low,120
M002,2018-11-13,ISS Resupply,NASA,Low,12
M003,2018-11-19,Mars,JAXA,Low,240
M004,2022-10-06,ISS Resupply,JAXA,Low,12
M005,2016-03-03,Lunar,ESA,Medium,60
M006,2015-12-07,Deep Space,NASA,High,180
M007,2015-09-07,Lunar,ESA,Low,48
M008,2019-10-21,Earth Orbit,NASA,High,36
M009,2023-10-18,Lunar,JAXA,Medium,60
M010,2021-01-09,Mars,JAXA,Critical,450
M011,2016-08-03,Earth Orbit,JAXA,Critical,45
M012,2016-11-16,ISS Resupply,NASA,Low,12
M013,2021-02-01,Deep Space,NASA,Critical,225
M014,2017-01-19,Lunar,ESA,Medium,60
M015,2022-06-19,ISS Resupply,ESA,High,18
M016,2019-12-25,Deep Space,JAXA,High,180
M017,2018-07-01,Mars,ESA,Medium,300
M018,2023-10-13,Lunar,ESA,Medium,60
M019,2019-04-23,Lunar,ESA,Low,48
M020,2017-04-25,Lunar,ESA,Medium,60
M021,2020-01-05,Lunar,ESA,Critical,90
M022,2020-03-29,Deep Space,NASA,Critical,225
M023,2022-01-11,ISS Resupply,NASA,Medium,15
M024,2020-05-13,ISS Resupply,ESA,Critical,22
M025,2017-05-09,Deep Space,NASA,Low,120
M026,2023-12-31,ISS Resupply,NASA,Low,12
M027,2019-08-26,Earth Orbit,NASA,Low,24
M028,2022-05-18,Mars,JAXA,High,360
M029,2022-12-13,Mars,JAXA,High,360
M030,2018-02-15,ISS Resupply,ESA,Medium,15
M031,2016-10-16,Earth Orbit,JAXA,Critical,45
M032,2018-01-17,Deep Space,ESA,Low,120
M033,2017-05-28,ISS Resupply,JAXA,High,18
M034,2023-04-17,Mars,JAXA,Medium,300
M035,2018-06-07,ISS Resupply,JAXA,High,18
M036,2019-06-15,Earth Orbit,NASA,High,36
M037,2019-03-22,Mars,NASA,High,360
M038,2017-09-27,Lunar,ESA,Medium,60
M039,2020-10-30,Mars,JAXA,Critical,450
M040,2017-07-27,Earth Orbit,NASA,High,36
M041,2022-02-17,ISS Resupply,JAXA,High,18
M042,2018-12-06,Mars,NASA,Medium,300
M043,2018-10-23,Mars,JAXA,Low,240
M044,2016-06-01,Lunar,ESA,Critical,90
M045,2019-02-04,Earth Orbit,NASA,Critical,45
M046,2015-08-06,Deep Space,ESA,Critical,225
M047,2020-09-10,Lunar,JAXA,Critical,90
